Date : 2024-03-18 10:12:48
Directory : d:\CNG491ERG\EndlessRunnerGame
Total : 113 files,  537942 codes, 920 comments, 2214 blanks, all 541076 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| Log         |          1 |    278,630 |          0 |          4 |    278,634 |
| XML         |         35 |    252,691 |          0 |      1,101 |    253,792 |
| C#          |         43 |      2,566 |        838 |        456 |      3,860 |
| UnityShader |         17 |      2,338 |         82 |        644 |      3,064 |
| JSON        |         11 |      1,478 |          0 |          5 |      1,483 |
| YAML        |          5 |        237 |          0 |          3 |        240 |
| Markdown    |          1 |          2 |          0 |          1 |          3 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        113 |    537,942 |        920 |      2,214 |    541,076 |
| . (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| Assets                                                                                               |         73 |     50,512 |        920 |      1,296 |     52,728 |
| Assets\ML-Agents                                                                                     |          4 |          4 |          0 |          1 |          5 |
| Assets\ML-Agents\Timers                                                                              |          4 |          4 |          0 |          1 |          5 |
| Assets\Plugins                                                                                       |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant                                                                             |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant\DOTween                                                                     |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant\DOTween\Modules                                                             |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Scripts                                                                                       |         35 |      1,271 |        283 |        234 |      1,788 |
| Assets\Scripts (Files)                                                                               |          1 |         22 |          4 |          4 |         30 |
| Assets\Scripts\Boss                                                                                  |          8 |        451 |         18 |         90 |        559 |
| Assets\Scripts\Boss (Files)                                                                          |          4 |        238 |         17 |         53 |        308 |
| Assets\Scripts\Boss\Boss Abilities                                                                   |          4 |        213 |          1 |         37 |        251 |
| Assets\Scripts\Environment                                                                           |          2 |         32 |          2 |          6 |         40 |
| Assets\Scripts\Factions                                                                              |          4 |        234 |          6 |         39 |        279 |
| Assets\Scripts\Factions\The Order of the Flesh                                                       |          4 |        234 |          6 |         39 |        279 |
| Assets\Scripts\Game                                                                                  |          2 |        113 |          2 |         23 |        138 |
| Assets\Scripts\Interfaces                                                                            |          3 |         44 |          1 |          8 |         53 |
| Assets\Scripts\Player                                                                                |          6 |        239 |        243 |         36 |        518 |
