"filename", "language", "XML", "JSON", "Markdown", "YAML", "HTML", "JavaScript", "CSS", "C#", "UnityShader", "UnityAssemblyDefinition", "comment", "blank", "total"
"d:\CNG491ERG\EndlessRunnerGame\.idea\.idea.EndlessRunnerGame\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\CNG491ERG\EndlessRunnerGame\.idea\.idea.EndlessRunnerGame\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\DependencyCore\DependencyAnalytics.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 26, 145
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\DependencyCore\ScriptData.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 2, 34, 225
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Edge.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\ForceLayoutGraph.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 17, 101
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Graph.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Node.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\ScriptDependencyWindow.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 387, 0, 0, 4, 73, 464
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\Serializer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 7, 38, 177
"d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\WindowUtilities.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 8, 106, 522
