Date : 2024-05-25 16:28:42
Directory : d:\CNG491ERG\EndlessRunnerGame
Total : 332 files,  937031 codes, 798 comments, 6248 blanks, all 944077 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| XML                     |        137 |    918,771 |          0 |      4,120 |    922,891 |
| C#                      |         88 |      6,445 |        690 |      1,083 |      8,218 |
| HTML                    |         30 |      5,197 |          0 |        240 |      5,437 |
| JSON                    |         35 |      2,396 |          0 |          4 |      2,400 |
| UnityShader             |         17 |      2,338 |         82 |        644 |      3,064 |
| YAML                    |         10 |        714 |          0 |          9 |        723 |
| CSS                     |          1 |        504 |          0 |         64 |        568 |
| JavaScript              |          2 |        440 |         26 |         80 |        546 |
| UnityAssemblyDefinition |         10 |        170 |          0 |          1 |        171 |
| Markdown                |          2 |         56 |          0 |          3 |         59 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        332 |    937,031 |        798 |      6,248 |    944,077 |
| . (Files)                                                                                                                               |          1 |          2 |          0 |          1 |          3 |
| .idea                                                                                                                                   |          2 |         14 |          0 |          0 |         14 |
| .idea\.idea.EndlessRunnerGame                                                                                                           |          2 |         14 |          0 |          0 |         14 |
| .idea\.idea.EndlessRunnerGame\.idea                                                                                                     |          2 |         14 |          0 |          0 |         14 |
| Assets                                                                                                                                  |        152 |     54,705 |        772 |      1,923 |     57,400 |
| Assets (Files)                                                                                                                          |          7 |        175 |         10 |         26 |        211 |
| Assets\BlackPeaStudios                                                                                                                  |          9 |      1,409 |         21 |        312 |      1,742 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer                                                                                       |          9 |      1,409 |         21 |        312 |      1,742 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor                                                                                |          9 |      1,409 |         21 |        312 |      1,742 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities                                                                      |          6 |        482 |          2 |         95 |        579 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\DependencyCore                                                       |          2 |        308 |          2 |         60 |        370 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout                                                               |          4 |        174 |          0 |         35 |        209 |
| Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts                                                                  |          3 |        927 |         19 |        217 |      1,163 |
| Assets\ML-Agents                                                                                                                        |         21 |         21 |          0 |          0 |         21 |
| Assets\ML-Agents\Timers                                                                                                                 |         21 |         21 |          0 |          0 |         21 |
| Assets\Plugins                                                                                                                          |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant                                                                                                                |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant\DOTween                                                                                                        |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Plugins\Demigiant\DOTween\Modules                                                                                                |          8 |      1,295 |        555 |        222 |      2,072 |
| Assets\Scripts                                                                                                                          |         76 |      3,709 |        104 |        495 |      4,308 |
| Assets\Scripts\API                                                                                                                      |         10 |        515 |         16 |         63 |        594 |
| Assets\Scripts\API (Files)                                                                                                              |          7 |        495 |         16 |         63 |        574 |
| Assets\Scripts\API\.idea                                                                                                                |          3 |         20 |          0 |          0 |         20 |
| Assets\Scripts\API\.idea\.idea.API.dir                                                                                                  |          3 |         20 |          0 |          0 |         20 |
| Assets\Scripts\API\.idea\.idea.API.dir\.idea                                                                                            |          3 |         20 |          0 |          0 |         20 |
| Assets\Scripts\API\.idea\.idea.API.dir\.idea (Files)                                                                                    |          2 |         14 |          0 |          0 |         14 |
| Assets\Scripts\API\.idea\.idea.API.dir\.idea\inspectionProfiles                                                                         |          1 |          6 |          0 |          0 |          6 |
| Assets\Scripts\BossAbilities                                                                                                            |          6 |        358 |          1 |         57 |        416 |
| Assets\Scripts\BossMode                                                                                                                 |          6 |        315 |          0 |         32 |        347 |
